Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
107,[0.6334215  0.07661165 1.        ],[ 0.8100663  -0.16181421  1.3049316 ],[1.0411249  0.02688849 1.45204   ],[0.6858999  0.11724389 1.7222112 ],[ 0.7717226  -0.2719369   0.19213998],[0.8446942  0.09419418 0.13529706]
108,[0.64404494 0.05535036 1.        ],[ 0.84235126 -0.17480177  1.3203125 ],[1.0615687  0.01562709 1.4483404 ],[0.6999634  0.09250504 1.7246828 ],[ 0.805335   -0.27003688  0.1901117 ],[0.8538517  0.07941914 0.13490635]
109,[0.6541266  0.04334167 1.        ],[ 0.8929739 -0.1552839  1.3500698],[1.0738775  0.01512626 1.4448278 ],[0.71343714 0.08102361 1.7225769 ],[ 0.826333   -0.27499244  0.1947115 ],[0.86451185 0.06108365 0.13457328]
110,[0.6637385  0.03468799 1.        ],[ 0.9048799  -0.10552359  1.3850393 ],[1.0682997  0.02802932 1.4435475 ],[0.7186578  0.08106016 1.7170657 ],[ 0.8360395  -0.2504542   0.18638015],[0.8660737  0.03819489 0.13586617]
111,[0.6727211  0.03068304 1.        ],[ 0.9343162  -0.09459054  1.3466403 ],[1.0702653  0.05460227 1.4448636 ],[0.7285966  0.08135986 1.7130411 ],[ 0.8485556  -0.26184833  0.18522209],[0.86304456 0.03543758 0.1357984 ]
112,[0.68168944 0.01697231 1.        ],[ 0.97899234 -0.03543019  1.3783693 ],[1.0665771  0.08772374 1.4456306 ],[0.7352948  0.07063294 1.7063173 ],[ 0.85857874 -0.2837479   0.18945652],[ 0.86214304 -0.00096118  0.1367181 ]
113,[ 0.69046855 -0.01378915  1.        ],[0.9994345  0.01055536 1.4043257 ],[1.0662082  0.07853732 1.448836  ],[0.7418982  0.05173633 1.7091465 ],[ 0.8690253  -0.3275049   0.18932194],[ 0.8559409  -0.02289882  0.12915432]
114,[ 0.6991935  -0.03405883  1.        ],[1.0167191  0.02928815 1.3874321 ],[1.0527977  0.05843363 1.4336988 ],[0.7502505  0.04055402 1.7008725 ],[ 0.89328    -0.3794451   0.19316709],[ 0.8547649  -0.05142667  0.115749  ]
115,[ 0.7078119  -0.04636014  1.        ],[1.0125562  0.03450178 1.3785498 ],[1.0516034  0.10887956 1.44719   ],[0.74493873 0.0353338  1.7052225 ],[ 0.89345783 -0.3637737   0.18998569],[ 0.84255725 -0.07625557  0.11443412]
116,[ 0.7164763  -0.05442227  1.        ],[1.0110589  0.02942531 1.3398924 ],[1.043901   0.11158352 1.4563112 ],[0.74890226 0.03512864 1.7059646 ],[ 0.89164245 -0.36460906  0.19147998],[ 0.83852893 -0.09821231  0.11847574]
117,[ 0.7250102 -0.0597322  1.       ],[1.0060831  0.03870421 1.3097286 ],[1.0400171  0.12726486 1.4497759 ],[0.75919    0.03035784 1.701815  ],[ 0.90217763 -0.32679594  0.17196369],[ 0.8332909  -0.10756564  0.12079203]
118,[ 0.73373413 -0.06516016  1.        ],[1.0221896  0.07869392 1.3749692 ],[1.0337235  0.16913436 1.4732318 ],[0.7670432 0.0212624 1.7091582],[ 0.93180615 -0.3033669   0.1497488 ],[ 0.8301595  -0.10597575  0.10890448]
119,[ 0.7428312 -0.0776656  1.       ],[1.034867   0.06409802 1.3637592 ],[1.0312905  0.19034085 1.4810421 ],[0.7773925 0.0083808 1.7138429],[ 0.9598142  -0.26870283  0.15186727],[ 0.8240528  -0.09760437  0.10862309]
120,[ 0.7520104 -0.080433   1.       ],[1.0384353 0.0679837 1.3649855],[1.0259339 0.1817344 1.4720919],[0.78516155 0.00350239 1.7101376 ],[ 0.98179525 -0.23861592  0.15087086],[ 0.8124858  -0.08610587  0.11425352]
121,[ 0.76131785 -0.08902947  1.        ],[ 1.0712783  -0.00195423  1.3873192 ],[1.0090004  0.18811515 1.4806697 ],[ 0.7967753  -0.00742713  1.7210667 ],[ 1.019896   -0.22324303  0.14450008],[ 0.8103676  -0.10620848  0.10860151]
122,[ 0.7707438  -0.10404765  1.        ],[ 1.0950313  -0.03475105  1.3986101 ],[0.9996153  0.18288751 1.4825227 ],[ 0.8013572  -0.02514504  1.7241492 ],[ 1.0365268  -0.22055016  0.1420762 ],[ 0.8106507  -0.14485179  0.10597509]
123,[ 0.7803349  -0.12095095  1.        ],[ 1.133344   -0.09804334  1.4171042 ],[0.9974437  0.20018344 1.4797585 ],[ 0.81050533 -0.04130604  1.7263699 ],[ 1.0430052  -0.20481141  0.14498526],[ 0.79743904 -0.17068608  0.11400688]
124,[ 0.78992736 -0.14219196  1.        ],[ 1.1566173  -0.13096233  1.4216957 ],[0.9910222  0.17497443 1.4767233 ],[ 0.80907935 -0.05952765  1.7260065 ],[ 1.0420518 -0.2168131  0.1390028],[ 0.78749    -0.20618023  0.11277258]
125,[ 0.7996097  -0.14595264  1.        ],[ 1.1783648  -0.17516953  1.4357405 ],[0.9838755  0.18430054 1.4780674 ],[ 0.81464446 -0.06187904  1.7251666 ],[ 1.0354215  -0.23805398  0.12598217],[ 0.7760347  -0.22353321  0.10242325]
126,[ 0.8092931  -0.16198401  1.        ],[ 1.1904852  -0.17923062  1.4461701 ],[0.96160626 0.20840587 1.4777904 ],[ 0.8207588  -0.08258693  1.7288654 ],[ 1.0230495  -0.2519415   0.12439072],[ 0.7726368 -0.235094   0.1027987]
127,[ 0.8190854  -0.17628847  1.        ],[ 1.2065835  -0.18121623  1.4560289 ],[0.95269567 0.23094304 1.4801736 ],[ 0.81575733 -0.0861824   1.7280288 ],[ 1.0211695  -0.25997865  0.1270963 ],[ 0.7765738  -0.24246715  0.10825431]
128,[ 0.8289609  -0.17848925  1.        ],[ 1.2224095 -0.1701852  1.4524639],[0.93569666 0.25700665 1.4649558 ],[ 0.8229872 -0.0936306  1.7275323],[ 1.0166584  -0.26932138  0.12226504],[ 0.77874315 -0.22709577  0.11078972]
129,[ 0.83872306 -0.184198    1.        ],[ 1.2425044  -0.16869603  1.4473791 ],[0.93649936 0.22797753 1.4743085 ],[ 0.8347578  -0.10248541  1.7274841 ],[ 1.0188481  -0.2779323   0.12770939],[ 0.7965987  -0.21398972  0.12602395]
130,[ 0.8486953  -0.18572061  1.        ],[ 1.2668456  -0.16408943  1.455814  ],[0.9187107  0.23225875 1.4681449 ],[ 0.83959323 -0.10072528  1.7246289 ],[ 1.0183104  -0.2846914   0.13377088],[ 0.8172189  -0.20059852  0.13420492]
131,[ 0.85885257 -0.1761536   1.        ],[ 1.2957252  -0.16045511  1.4642527 ],[0.9024116 0.2563889 1.4563793],[ 0.8568285  -0.09512699  1.7275771 ],[ 1.0216975  -0.29270476  0.13168782],[ 0.8426801  -0.19466406  0.1319378 ]
132,[ 0.8689994  -0.17289747  1.        ],[ 1.3151724  -0.14793684  1.4631797 ],[0.87597764 0.23180197 1.4789047 ],[ 0.8680739  -0.09591532  1.7339382 ],[ 1.0201585  -0.30469692  0.12810463],[ 0.87373686 -0.18342532  0.12154591]
133,[ 0.87886125 -0.17110041  1.        ],[ 1.3303214  -0.15215817  1.4789418 ],[0.8277261 0.2271367 1.4714804],[ 0.8784155  -0.09640517  1.7347194 ],[ 1.0151021 -0.2952812  0.1290701],[ 0.90271515 -0.16403863  0.12172008]
134,[ 0.88846326 -0.14885929  1.        ],[ 1.3482975  -0.11783805  1.4932745 ],[0.79901755 0.276274   1.4439024 ],[ 0.88605607 -0.07303485  1.7288816 ],[ 1.0055617  -0.28534016  0.124228  ],[ 0.9298875  -0.12994596  0.11534226]
135,[ 0.89785117 -0.15062158  1.        ],[ 1.3528614  -0.10548924  1.4912477 ],[0.77516186 0.2614478  1.455748  ],[ 0.89148474 -0.08868049  1.7279346 ],[ 0.9991394  -0.30124438  0.11924517],[ 0.9551625  -0.11460136  0.11069846]
136,[ 0.9070223  -0.15060067  1.        ],[ 1.3737612  -0.10978258  1.515049  ],[0.75908774 0.2420981  1.4698293 ],[ 0.89868176 -0.08718288  1.7279629 ],[ 0.9928364  -0.30864644  0.12691957],[ 0.9950349  -0.11125052  0.11344045]
137,[ 0.9156621  -0.14641646  1.        ],[ 1.3644366  -0.03221633  1.5204028 ],[0.7360139  0.24739423 1.4768118 ],[ 0.89769685 -0.08806517  1.7295914 ],[ 0.9647914  -0.31572863  0.13683784],[ 0.9919974  -0.07770129  0.1288011 ]
138,[ 0.92394257 -0.13398477  1.        ],[1.351628   0.01400568 1.5283203 ],[0.72620845 0.22190449 1.4990733 ],[ 0.9060277  -0.07363043  1.738414  ],[ 0.9706807  -0.3126885   0.15274286],[ 1.007692   -0.06337462  0.12994444]
139,[ 0.93168813 -0.11366984  1.        ],[1.3564719  0.05711457 1.5381143 ],[0.6990948  0.23905984 1.481051  ],[ 0.8996411 -0.0576109  1.7329085],[ 0.97929776 -0.303973    0.15974087],[ 1.0201148  -0.05575505  0.12690383]
140,[ 0.93861806 -0.09707974  1.        ],[1.3469057  0.12257035 1.5433358 ],[0.66343826 0.21502616 1.459447  ],[ 0.9124422 -0.0458623  1.733587 ],[ 0.9896339  -0.29086125  0.17796576],[ 1.0085841  -0.04962073  0.12817466]
141,[ 0.9449071  -0.08282764  1.        ],[1.3365389  0.16452199 1.5460123 ],[0.6263546 0.2355547 1.4355624],[ 0.92063606 -0.034612    1.7338889 ],[ 1.018197   -0.26376337  0.18371457],[ 1.0008792  -0.05762536  0.12439215]
142,[ 0.9507353  -0.06232093  1.        ],[1.3209587  0.22835328 1.5404572 ],[0.60338104 0.25478932 1.422685  ],[ 0.9245476  -0.00946919  1.735459  ],[ 1.0322646  -0.23071681  0.19482541],[ 1.0009595  -0.05926059  0.12550724]
143,[ 0.9557577  -0.04779064  1.        ],[1.2973145 0.2659582 1.5408971],[0.5981973 0.2711563 1.4180171],[0.93067104 0.00898028 1.7352766 ],[ 1.0500597  -0.21243167  0.18647867],[ 1.0034503  -0.0633304   0.13130516]
144,[ 0.96002114 -0.03898772  1.        ],[1.2904713  0.30203745 1.5274539 ],[0.5850902  0.26125625 1.3856003 ],[0.9472031  0.03342596 1.7369388 ],[ 1.0665535  -0.18993029  0.1609239 ],[ 0.9884709  -0.05556127  0.12565267]
145,[ 0.9637396 -0.0120014  1.       ],[1.250253   0.35139275 1.5314281 ],[0.5780539  0.26038164 1.3925693 ],[0.9537743  0.05367792 1.7322643 ],[ 1.0924735  -0.16834676  0.15145183],[ 0.98442805 -0.07818258  0.1238274 ]
146,[0.96672267 0.0162534  1.        ],[1.178545   0.39287913 1.5252132 ],[0.57424957 0.22027628 1.3892996 ],[0.9511377  0.07278548 1.7216592 ],[ 1.0848364  -0.06619973  0.15326327],[ 0.9576961  -0.08420368  0.14292884]
147,[0.9687065  0.03104732 1.        ],[1.1385666 0.4093775 1.5236214],[0.57452434 0.20636275 1.3767891 ],[0.95101345 0.08402286 1.7241058 ],[ 1.0685735  -0.03029665  0.14318758],[ 0.9424606  -0.09761091  0.13803774]
148,[0.97001565 0.05157629 1.        ],[1.0882472 0.4327735 1.5248871],[0.5745517  0.21210518 1.361275  ],[0.9527921  0.10216186 1.7253158 ],[1.0639209e+00 9.7874319e-04 1.4438802e-01],[ 0.9253705  -0.10656007  0.1492483 ]
149,[0.9702653  0.06716426 1.        ],[1.0368116  0.44112116 1.5168142 ],[0.58073497 0.19760604 1.3544375 ],[0.94890153 0.10948463 1.7240711 ],[1.0179572  0.04901452 0.13483119],[ 0.9005739  -0.10811906  0.15598279]
150,[0.96961504 0.07623255 1.        ],[0.9862304  0.45116812 1.5149707 ],[0.58956164 0.20982444 1.3333485 ],[0.94538516 0.13085073 1.7196181 ],[0.97362286 0.09708273 0.1308937 ],[ 0.88619703 -0.1186362   0.1646167 ]
151,[0.9679635  0.08705597 1.        ],[0.92033565 0.4864058  1.5151689 ],[0.6013041  0.21436554 1.3340299 ],[0.9312847  0.16168088 1.7199161 ],[0.9385969  0.13605815 0.1319257 ],[ 0.8718833  -0.12337453  0.16687042]
152,[0.9652902  0.09092675 1.        ],[0.84389174 0.52625006 1.5087785 ],[0.6042482  0.15193759 1.3335204 ],[0.92336386 0.17209445 1.7145274 ],[0.9083949  0.10588448 0.1267637 ],[ 0.85875994 -0.16147877  0.17260861]
153,[0.9613879 0.0983879 1.       ],[0.7860876  0.51823384 1.4821582 ],[0.6224458  0.17680514 1.2949209 ],[0.91409135 0.17609453 1.7083926 ],[0.8981297  0.08285642 0.11578161],[ 0.83833325 -0.15963387  0.17599922]
154,[0.95619065 0.09095066 1.        ],[0.7114461  0.45659852 1.4765389 ],[0.6178248  0.13112092 1.2980969 ],[0.89431596 0.1496324  1.7083535 ],[0.8827345  0.06210583 0.12047011],[ 0.8086756  -0.20638019  0.18968898]
155,[0.9499394  0.08355493 1.        ],[0.67127967 0.40388197 1.4720198 ],[0.6310266  0.09170664 1.3105683 ],[0.8725217  0.14529552 1.7113264 ],[0.8664766  0.06273318 0.11609018],[ 0.79442453 -0.2271441   0.19544548]
156,[0.94252867 0.06882575 1.        ],[0.57554984 0.37465075 1.4343954 ],[0.64872694 0.05331972 1.2708979 ],[0.8507738  0.13972798 1.7016981 ],[0.8560284  0.02995875 0.1191439 ],[ 0.7709543  -0.24741778  0.2016437 ]
157,[0.93390137 0.05521371 1.        ],[0.5258826  0.33205655 1.4238396 ],[0.6395617  0.05320921 1.2767432 ],[0.836618   0.12696029 1.6943822 ],[0.83770484 0.00908687 0.12573475],[ 0.75920683 -0.25992057  0.20721424]
158,[0.9240947  0.04613451 1.        ],[0.4798708  0.26910606 1.4089646 ],[0.5551442  0.04769275 1.2971624 ],[0.8128856 0.11132   1.6978076],[ 0.82149565 -0.01698568  0.12492013],[ 0.76711804 -0.2664025   0.20043087]
159,[0.9130372  0.03216244 1.        ],[0.42193705 0.18762185 1.4061044 ],[0.5074306  0.04405357 1.3051337 ],[0.79596233 0.09668858 1.7001886 ],[ 0.80736274 -0.03482078  0.11937785],[ 0.77439314 -0.2671945   0.17974734]
160,[0.90091807 0.03995473 1.        ],[0.3788377  0.13612117 1.387043  ],[0.49942327 0.035509   1.2807895 ],[0.7744309  0.09112681 1.6963356 ],[ 0.778871   -0.02235269  0.12821865],[ 0.7901392  -0.20691966  0.16671479]
161,[0.88770324 0.03132579 1.        ],[0.34616008 0.09878305 1.3738955 ],[ 0.53155726 -0.02444102  1.2936376 ],[0.74825275 0.07558093 1.6972451 ],[ 0.75535154 -0.06566801  0.12267727],[ 0.8453343  -0.24293996  0.14993435]
162,[0.8732648 0.0329079 1.       ],[0.34140578 0.02613765 1.3507291 ],[ 0.59827304 -0.08020467  1.2295375 ],[0.73699856 0.06814355 1.678483  ],[ 0.738019   -0.10641092  0.1447441 ],[ 0.86470467 -0.25476116  0.16288596]
163,[0.8577542  0.04301939 1.        ],[ 0.3380844  -0.06437101  1.3515561 ],[ 0.6348594 -0.1125442  1.1823251],[0.7182703  0.05785451 1.6787876 ],[ 0.73552203 -0.1163192   0.13740051],[ 0.8853906  -0.21440402  0.16033334]
164,[0.84134454 0.03941395 1.        ],[ 0.32799828 -0.10816119  1.35356   ],[ 0.6510084 -0.1508113  1.1792418],[0.71142846 0.04654803 1.685076  ],[ 0.72794425 -0.14065324  0.13923466],[ 0.9082921  -0.19096981  0.16663104]
165,[0.8242588  0.05068004 1.        ],[ 0.3160866  -0.14884496  1.3217565 ],[ 0.6327186  -0.16822255  1.1903355 ],[0.693285   0.04531538 1.6895616 ],[ 0.7278133  -0.14759564  0.12708163],[ 0.9040979  -0.13918352  0.15482652]
166,[0.806216  0.0586199 1.       ],[ 0.32810637 -0.1856124   1.3252647 ],[ 0.63596094 -0.19384558  1.2075019 ],[0.68463874 0.04857223 1.6899887 ],[ 0.7246865  -0.15795954  0.12935787],[ 0.8884414  -0.11915906  0.14582676]
167,[0.7873759  0.06417378 1.        ],[ 0.3203718  -0.19501404  1.3111792 ],[ 0.67638713 -0.26628736  1.2573318 ],[0.6741426  0.05589028 1.693253  ],[ 0.69877905 -0.13924079  0.13342166],[ 0.8639292  -0.11309639  0.13493425]
168,[0.76796335 0.06261074 1.        ],[ 0.34367314 -0.23251128  1.3234155 ],[ 0.68198824 -0.27917445  1.2897156 ],[0.66830635 0.05370199 1.6964006 ],[ 0.68144304 -0.15964615  0.15667504],[ 0.827338   -0.0632701   0.14537024]
169,[0.74791384 0.05795845 1.        ],[ 0.37182814 -0.2521403   1.348968  ],[ 0.69879293 -0.26252857  1.350441  ],[0.6642938  0.05107864 1.6922154 ],[ 0.6822385  -0.18101075  0.1441186 ],[ 0.81285536 -0.08615163  0.12462527]
170,[0.72724384 0.05401605 1.        ],[ 0.36930856 -0.27436316  1.3498957 ],[ 0.69868106 -0.27408266  1.3554168 ],[0.64950156 0.04395616 1.6951195 ],[ 0.64183617 -0.17892456  0.16594964],[ 0.7715071  -0.08550453  0.13375169]
171,[0.70609623 0.04369124 1.        ],[ 0.39745784 -0.2823675   1.3507893 ],[ 0.7118455  -0.25640574  1.3773263 ],[0.6309004  0.01524004 1.6873469 ],[ 0.63637257 -0.19547884  0.15576655],[ 0.7350584  -0.08565918  0.12523234]
172,[0.68451107 0.03455577 1.        ],[ 0.48322138 -0.26189688  1.3747244 ],[ 0.70945966 -0.23984684  1.3934331 ],[0.6179923  0.00303612 1.6860971 ],[ 0.6324128  -0.22198714  0.16701871],[ 0.72184306 -0.09933593  0.12629086]
173,[0.6625551  0.03457084 1.        ],[ 0.49845523 -0.26974514  1.3729118 ],[ 0.6887262  -0.23421922  1.392606  ],[ 0.6003812  -0.00585488  1.6819305 ],[ 0.6093837  -0.23454276  0.17104185],[ 0.69224536 -0.0923591   0.12168694]
174,[0.6404582  0.02787448 1.        ],[ 0.5007897  -0.27397615  1.3745935 ],[ 0.69820315 -0.22819857  1.3978951 ],[ 0.5882975  -0.01383775  1.685658  ],[ 0.59801793 -0.2591402   0.17190707],[ 0.67015666 -0.0932216   0.12013328]
175,[0.6182851 0.0271382 1.       ],[ 0.45632195 -0.30886653  1.3538032 ],[ 0.7083905  -0.23248997  1.3969811 ],[ 0.5726458  -0.01410464  1.6885225 ],[ 0.5964929  -0.2661511   0.17255855],[ 0.6614394  -0.09177914  0.12504977]
176,[0.5960949  0.02385869 1.        ],[ 0.4209591  -0.32520756  1.349576  ],[ 0.72349197 -0.21905968  1.4100474 ],[ 0.55743533 -0.00688741  1.6957498 ],[ 0.60315734 -0.27660343  0.17468745],[ 0.6520505  -0.09442935  0.1301946 ]
177,[0.5741923  0.01356196 1.        ],[ 0.44013965 -0.3144393   1.3728639 ],[ 0.8662172  -0.22042453  1.3831912 ],[ 0.54476255 -0.00879371  1.6993946 ],[ 0.6054069  -0.28806543  0.16361874],[ 0.65536016 -0.12374473  0.11996377]
178,[0.5526722  0.01105633 1.        ],[ 0.45706972 -0.32916448  1.3396759 ],[ 0.8622922 -0.1966686  1.4098783],[ 0.53528064 -0.0092201   1.7027097 ],[ 0.6125966  -0.27902576  0.17273259],[ 0.6739476  -0.12701318  0.13094902]
179,[ 0.5313846 -0.002472   1.       ],[ 0.48407245 -0.3232496   1.346002  ],[ 0.8844783  -0.19015767  1.419898  ],[ 0.5216281  -0.01211728  1.7014267 ],[ 0.6001643  -0.28145877  0.15972108],[ 0.6767879  -0.13975431  0.12626565]
180,[ 0.5102292  -0.01589277  1.        ],[ 0.5183904  -0.32476285  1.3080935 ],[ 0.8802379 -0.1746737  1.4286407],[ 0.5138532  -0.02185371  1.7010897 ],[ 0.5995666  -0.30003932  0.16132927],[ 0.6918733  -0.1605747   0.13298452]
181,[ 0.48916337 -0.0303815   1.        ],[ 0.55930185 -0.30331373  1.2856034 ],[ 0.87340766 -0.14330971  1.4319003 ],[ 0.5049452  -0.01966351  1.6971748 ],[ 0.58671147 -0.3032174   0.15894824],[ 0.69462806 -0.15747762  0.13248146]
182,[ 0.46829242 -0.03701425  1.        ],[ 0.5868918  -0.28964758  1.2554811 ],[ 0.8679202  -0.11217248  1.4354984 ],[ 0.49193636 -0.02412605  1.7004164 ],[ 0.58105314 -0.30797756  0.15407765],[ 0.69294053 -0.16143978  0.13068563]
183,[ 0.4475758  -0.05239667  1.        ],[ 0.58244437 -0.3021313   1.2001948 ],[ 0.86067307 -0.06617249  1.4504122 ],[ 0.47743693 -0.04108466  1.7084575 ],[ 0.55891234 -0.32611394  0.15579695],[ 0.68934566 -0.16591324  0.13997209]
184,[ 0.42707494 -0.05661465  1.        ],[ 0.663365   -0.20989902  1.3071585 ],[0.83735436 0.00361459 1.460959  ],[ 0.46567902 -0.02787049  1.708885  ],[ 0.5684367  -0.3080973   0.16260797],[ 0.7084383  -0.13578983  0.15528154]
185,[ 0.40684634 -0.07200394  1.        ],[ 0.70267165 -0.12843065  1.352891  ],[0.8149641  0.05896374 1.4719559 ],[ 0.45578206 -0.03871784  1.7013161 ],[ 0.55188555 -0.3300598   0.17758971],[ 0.7014796  -0.14702992  0.17411262]
186,[ 0.38675308 -0.07988429  1.        ],[ 0.7120921  -0.06767482  1.3908983 ],[0.79363847 0.07378101 1.4920671 ],[ 0.44381854 -0.03046685  1.7011893 ],[ 0.539313   -0.33150285  0.17998356],[ 0.6976415  -0.12269181  0.17732835]
187,[ 0.36695525 -0.09629082  1.        ],[0.6200851  0.01789261 1.279712  ],[0.74865717 0.12223161 1.4761689 ],[ 0.41972628 -0.03987109  1.6976602 ],[ 0.51452    -0.33625996  0.18935162],[ 0.687652   -0.10544788  0.18464327]
188,[ 0.3474936 -0.1096638  1.       ],[ 0.6351142  -0.09237386  1.2714136 ],[0.7019952  0.15224735 1.4933147 ],[ 0.41093948 -0.04387875  1.7091165 ],[ 0.5022019  -0.33726245  0.18084955],[ 0.67122144 -0.09549291  0.16373694]
189,[ 0.32853606 -0.1308677   1.        ],[ 0.6317326 -0.0596522  1.2708552],[0.6456792  0.18420495 1.4914074 ],[ 0.39120948 -0.06827038  1.711669  ],[ 0.47876605 -0.35180354  0.1732297 ],[ 0.6236905  -0.08763319  0.1413225 ]
190,[ 0.30997258 -0.15144704  1.        ],[ 0.64330363 -0.08326492  1.295052  ],[0.5630438  0.20379843 1.4977531 ],[ 0.37324122 -0.09126387  1.7199061 ],[ 0.46652985 -0.31789312  0.16779858],[ 0.56219494 -0.06194559  0.143291  ]
191,[ 0.29189575 -0.17062555  1.        ],[ 0.64644885 -0.13662969  1.3011832 ],[0.5091563  0.18418385 1.5030414 ],[ 0.35675374 -0.10037277  1.7165265 ],[ 0.43870005 -0.33477423  0.15966547],[ 0.4853548  -0.09702561  0.13025391]
192,[ 0.27418423 -0.19509886  1.        ],[ 0.66638184 -0.20470493  1.3119391 ],[0.4306439  0.22561772 1.5064347 ],[ 0.3414056  -0.12071573  1.7209346 ],[ 0.45259744 -0.35954636  0.16108835],[ 0.41669357 -0.10028618  0.1225965 ]
193,[ 0.25672475 -0.20473382  1.        ],[ 0.65897936 -0.23505977  1.3291233 ],[0.38792455 0.19147608 1.5030439 ],[ 0.3218213  -0.12572154  1.7266366 ],[ 0.43462467 -0.3849093   0.16025937],[ 0.35434702 -0.12444809  0.11914951]
194,[ 0.23973481 -0.21677771  1.        ],[ 0.6559959  -0.24351415  1.3413663 ],[0.33475015 0.19963947 1.5063602 ],[ 0.28985822 -0.13983843  1.7257538 ],[ 0.421481   -0.40281674  0.14441264],[ 0.3090853  -0.17416903  0.10220945]
195,[ 0.22305518 -0.2320765   1.        ],[ 0.6570494  -0.20958045  1.3579357 ],[0.268519  0.2307547 1.5051616],[ 0.27306587 -0.15737835  1.7359345 ],[ 0.415687   -0.42301932  0.13949513],[ 0.24850978 -0.1739774   0.10115576]
196,[ 0.20623158 -0.21748593  1.        ],[ 0.65909785 -0.20707521  1.366159  ],[0.1923347  0.24554774 1.499338  ],[ 0.2504563 -0.1502411  1.7409408],[ 0.4018682  -0.37864873  0.14672965],[ 0.19156307 -0.18446735  0.11103392]
197,[ 0.18969792 -0.22064923  1.        ],[ 0.6307358  -0.19076954  1.3808286 ],[0.11489921 0.24267377 1.5064814 ],[ 0.22626571 -0.16202877  1.7420143 ],[ 0.37044725 -0.39265296  0.1304996 ],[ 0.14005865 -0.23554133  0.09650189]
198,[ 0.17346476 -0.2228675   1.        ],[ 0.62950975 -0.18834426  1.3852092 ],[0.06292652 0.21763538 1.5113885 ],[ 0.20740096 -0.1713192   1.7521772 ],[ 0.3646766  -0.36231038  0.12772083],[ 0.12997982 -0.23790951  0.09753346]
199,[ 0.15723515 -0.22948645  1.        ],[ 0.6104566  -0.16342638  1.4186361 ],[0.0136759  0.18073578 1.5276992 ],[ 0.1787856  -0.16561906  1.7552665 ],[ 0.3418951  -0.3659296   0.13040167],[ 0.09946842 -0.2485063   0.09669834]
200,[ 0.14105734 -0.23990458  1.        ],[ 0.5809872  -0.11497896  1.4288749 ],[-0.02800667  0.1564852   1.5330248 ],[ 0.16026475 -0.17145187  1.7532234 ],[ 0.3289014 -0.3626358  0.1251241],[ 0.07843985 -0.24283165  0.10279804]
201,[ 0.12492747 -0.27374065  1.        ],[ 0.5512087  -0.10998161  1.4453603 ],[-0.07583218  0.0906124   1.5273225 ],[ 0.1392104  -0.20787944  1.7553308 ],[ 0.31533056 -0.3913554   0.12249494],[ 0.07283229 -0.26987624  0.10369313]
202,[ 0.10886279 -0.3156733   1.        ],[ 0.5140063  -0.09886218  1.4616227 ],[-0.13526267  0.01773863  1.5224278 ],[ 0.12483551 -0.24990195  1.7561026 ],[ 0.3006991  -0.4559335   0.12477171],[ 0.07592797 -0.33381778  0.1055491 ]
203,[ 0.09291948 -0.35910526  1.        ],[ 0.47205734 -0.07752933  1.4777846 ],[-0.19173646 -0.10508289  1.5288311 ],[ 0.11240736 -0.29369208  1.7578405 ],[ 0.30648324 -0.51330304  0.11439508],[ 0.05798605 -0.40254346  0.09052682]
204,[ 0.07742907 -0.3955964   1.        ],[ 0.4311083 -0.0999606  1.4830754],[-0.22835384 -0.17731795  1.5372529 ],[ 0.0946389  -0.32907555  1.7570823 ],[ 0.30176264 -0.56911176  0.12824768],[ 0.04061206 -0.45472828  0.09784049]
205,[ 0.06241156 -0.43649226  1.        ],[ 0.3825     -0.11591531  1.4807768 ],[-0.27214888 -0.22642672  1.514828  ],[ 0.08395855 -0.3669464   1.7547103 ],[ 0.29813296 -0.6116961   0.1467107 ],[ 0.02507375 -0.5088459   0.09908861]
206,[ 0.04789979 -0.44966573  1.        ],[ 0.3121662  -0.12119384  1.4981396 ],[-0.30693734 -0.2722897   1.5022876 ],[ 0.07032382 -0.38444626  1.7517084 ],[ 0.3032601  -0.6293482   0.15499544],[ 0.01681336 -0.5391168   0.10860986]
207,[ 0.03370371 -0.47043726  1.        ],[ 0.25883    -0.10837492  1.4731379 ],[-0.32055265 -0.3006039   1.4895824 ],[ 0.05399582 -0.4095342   1.7513268 ],[ 0.29182935 -0.6327167   0.16605479],[ 0.00340526 -0.57331306  0.11297727]
208,[ 0.01996101 -0.48839518  1.        ],[ 0.17847395 -0.08102427  1.4759877 ],[-0.34041798 -0.3395166   1.4662893 ],[ 0.03246769 -0.4218391   1.7502816 ],[ 0.25513813 -0.6380925   0.18262768],[-0.00784545 -0.6006274   0.10808766]
209,[ 0.00704754 -0.5123403   1.        ],[ 0.12945247 -0.10264853  1.4597123 ],[-0.36181912 -0.39034256  1.4442343 ],[ 0.01536512 -0.44846693  1.7440448 ],[ 0.21930797 -0.6438663   0.18787521],[-0.01682851 -0.6340034   0.11382133]
210,[-0.00503385 -0.53560925  1.        ],[ 0.0528691  -0.14565238  1.4713378 ],[-0.361445   -0.39952144  1.4328809 ],[-0.00687722 -0.45627412  1.7441411 ],[ 0.16555534 -0.63990057  0.16377151],[-0.03960768 -0.6839715   0.12057215]
